@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
1,'2020/10/23 21:43:08:061',1,-1.263158,0.675901,0.707645,0.138383,0.221214
2,'2020/10/23 21:43:08:077',1,-1.263158,0.675901,0.707645,0.138383,0.221214
3,'2020/10/23 21:43:08:094',1,-1.263158,0.675901,0.707645,0.138383,0.221214
4,'2020/10/23 21:43:08:110',1,-1.263158,0.675901,0.707645,0.138383,0.221214
5,'2020/10/23 21:43:08:127',1,-1.263158,0.675901,0.707645,0.138383,0.221214
6,'2020/10/23 21:43:08:144',1,-1.263158,0.675901,0.707645,0.138383,0.221214
7,'2020/10/23 21:43:08:160',1,-1.263158,0.675901,0.707645,0.138383,0.221214
8,'2020/10/23 21:43:08:177',1,-1.263158,0.675901,0.707645,0.138383,0.221214
9,'2020/10/23 21:43:08:194',1,-1.263158,0.675901,0.707645,0.138383,0.221214
10,'2020/10/23 21:43:08:210',1,-1.263158,0.675901,0.707645,0.138383,0.221214
11,'2020/10/23 21:43:08:227',1,-1.263158,0.675901,0.707645,0.138383,0.221214
12,'2020/10/23 21:43:08:244',1,-1.263158,0.675901,0.707645,0.138383,0.221214
13,'2020/10/23 21:43:08:260',1,-1.263158,0.675901,0.707645,0.138383,0.221214
14,'2020/10/23 21:43:08:277',1,-1.263158,0.675901,0.707645,0.138383,0.221214
15,'2020/10/23 21:43:08:294',1,-1.263158,0.675901,0.707645,0.138383,0.221214
16,'2020/10/23 21:43:08:310',1,-1.263158,0.675901,0.707645,0.138383,0.221214
17,'2020/10/23 21:43:08:327',1,-1.263158,0.675901,0.707645,0.138383,0.221214
18,'2020/10/23 21:43:08:344',1,-1.263158,0.675901,0.707645,0.138383,0.221214
19,'2020/10/23 21:43:08:360',1,-1.263158,0.675901,0.707645,0.138383,0.221214
20,'2020/10/23 21:43:08:377',1,-1.263158,0.675901,0.707645,0.138383,0.221214
21,'2020/10/23 21:43:08:394',1,-1.263158,0.675901,0.707645,0.138383,0.221214
22,'2020/10/23 21:43:08:410',1,-1.263158,0.675901,0.707645,0.138383,0.221214
23,'2020/10/23 21:43:08:427',1,-1.263158,0.675901,0.707645,0.138383,0.221214
24,'2020/10/23 21:43:08:444',1,-1.263158,0.675901,0.707645,0.138383,0.221214
25,'2020/10/23 21:43:08:460',1,-1.263158,0.675901,0.707645,0.138383,0.221214
26,'2020/10/23 21:43:08:477',1,-1.263158,0.675901,0.707645,0.138383,0.221214
27,'2020/10/23 21:43:08:494',1,-1.263158,0.675901,0.707645,0.138383,0.221214
28,'2020/10/23 21:43:08:510',1,-1.263158,0.675901,0.707645,0.138383,0.221214
29,'2020/10/23 21:43:08:527',1,-1.263158,0.675901,0.707645,0.138383,0.221214
30,'2020/10/23 21:43:08:544',1,-1.263158,0.675901,0.707645,0.138383,0.221214
31,'2020/10/23 21:43:08:560',1,-1.263158,0.675901,0.707645,0.138383,0.221214
32,'2020/10/23 21:43:08:578',1,-1.263158,0.675901,0.707645,0.138383,0.221214
33,'2020/10/23 21:43:08:594',1,-1.263158,0.675901,0.707645,0.138383,0.221214
34,'2020/10/23 21:43:08:611',1,-1.263158,0.675901,0.707645,0.138383,0.221214
35,'2020/10/23 21:43:08:628',1,-1.263158,0.675901,0.707645,0.138383,0.221214
36,'2020/10/23 21:43:08:644',1,-1.263158,0.675901,0.707645,0.138383,0.221214
37,'2020/10/23 21:43:08:661',1,-1.263158,0.675901,0.707645,0.138383,0.221214
38,'2020/10/23 21:43:08:678',1,-1.263158,0.675901,0.707645,0.138383,0.221214
39,'2020/10/23 21:43:08:694',1,-1.263158,0.675901,0.707645,0.138383,0.221214
40,'2020/10/23 21:43:08:711',1,-1.263158,0.675901,0.707645,0.138383,0.221214
41,'2020/10/23 21:43:08:727',1,-1.263158,0.675901,0.707645,0.138383,0.221214
42,'2020/10/23 21:43:08:744',1,-1.263158,0.675901,0.707645,0.138383,0.221214
43,'2020/10/23 21:43:08:761',1,-1.263158,0.675901,0.707645,0.138383,0.221214
44,'2020/10/23 21:43:08:777',1,-1.263158,0.675901,0.707645,0.138383,0.221214
45,'2020/10/23 21:43:08:794',1,-1.263158,0.675901,0.707645,0.138383,0.221214
46,'2020/10/23 21:43:08:811',1,-1.263158,0.675901,0.707645,0.138383,0.221214
47,'2020/10/23 21:43:08:827',1,-1.263158,0.675901,0.707645,0.138383,0.221214
48,'2020/10/23 21:43:08:844',1,-1.263158,0.675901,0.707645,0.138383,0.221214
49,'2020/10/23 21:43:08:861',1,-1.263158,0.675901,0.707645,0.138383,0.221214
50,'2020/10/23 21:43:08:877',1,-1.263158,0.675901,0.707645,0.138383,0.221214
51,'2020/10/23 21:43:08:894',1,-1.263158,0.675901,0.707645,0.138383,0.221214
52,'2020/10/23 21:43:08:911',1,-1.263158,0.675901,0.707645,0.138383,0.221214
53,'2020/10/23 21:43:08:927',1,-1.263158,0.675901,0.707645,0.138383,0.221214
54,'2020/10/23 21:43:08:945',1,-1.263158,0.675901,0.707645,0.138383,0.221214
55,'2020/10/23 21:43:08:961',1,-1.263158,0.675901,0.707645,0.138383,0.221214
56,'2020/10/23 21:43:08:978',1,-1.263158,0.675901,0.707645,0.138383,0.221214
57,'2020/10/23 21:43:08:994',1,-1.263158,0.675901,0.707645,0.138383,0.221214
58,'2020/10/23 21:43:09:011',1,-1.263158,0.675901,0.707645,0.138383,0.221214
59,'2020/10/23 21:43:09:028',1,-1.263158,0.675901,0.707645,0.138383,0.221214
60,'2020/10/23 21:43:09:044',1,-1.263158,0.675901,0.707645,0.138383,0.221214
61,'2020/10/23 21:43:09:061',1,-1.263158,0.675901,0.707645,0.138383,0.221214
62,'2020/10/23 21:43:09:078',1,-1.263158,0.675901,0.707645,0.138383,0.221214
63,'2020/10/23 21:43:09:094',1,-1.263158,0.675901,0.707645,0.138383,0.221214
64,'2020/10/23 21:43:09:111',1,-1.263158,0.675901,0.707645,0.138383,0.221214
65,'2020/10/23 21:43:09:128',1,-1.263158,0.675901,0.707645,0.138383,0.221214
66,'2020/10/23 21:43:09:144',1,-1.263158,0.675901,0.707645,0.138383,0.221214
67,'2020/10/23 21:43:09:161',1,-1.263158,0.675901,0.707645,0.138383,0.221214
68,'2020/10/23 21:43:09:178',1,-1.263158,0.675901,0.707645,0.138383,0.221214
69,'2020/10/23 21:43:09:216',1,-1.263158,0.675901,0.707645,0.138383,0.221214
70,'2020/10/23 21:43:09:232',1,-1.263158,0.675901,0.707645,0.138383,0.221214
71,'2020/10/23 21:43:09:249',1,-1.263158,0.675901,0.707645,0.138383,0.221214
72,'2020/10/23 21:43:09:276',1,-1.263158,0.675901,0.707645,0.138383,0.221214
73,'2020/10/23 21:43:09:284',1,-1.263158,0.675901,0.707645,0.138383,0.221214
74,'2020/10/23 21:43:09:300',1,-1.263158,0.675901,0.707645,0.138383,0.221214
75,'2020/10/23 21:43:09:317',1,-1.263158,0.675901,0.707645,0.138383,0.221214
76,'2020/10/23 21:43:09:333',1,-1.263158,0.675901,0.707645,0.138383,0.221214
77,'2020/10/23 21:43:15:714',2,1.257618,0.681441,0.043994,0.015288,0.176982
78,'2020/10/23 21:43:15:731',2,1.257618,0.681441,0.043994,0.015288,0.176982
79,'2020/10/23 21:43:15:747',2,1.257618,0.681441,0.043994,0.015288,0.176982
80,'2020/10/23 21:43:15:764',2,1.257618,0.681441,0.043994,0.015288,0.176982
81,'2020/10/23 21:43:15:781',2,1.257618,0.681441,0.043994,0.015288,0.176982
82,'2020/10/23 21:43:15:797',2,1.257618,0.681441,0.043994,0.015288,0.176982
83,'2020/10/23 21:43:15:814',2,1.257618,0.681441,0.043994,0.015288,0.176982
84,'2020/10/23 21:43:15:831',2,1.257618,0.681441,0.043994,0.015288,0.176982
85,'2020/10/23 21:43:15:847',2,1.257618,0.681441,0.043994,0.015288,0.176982
86,'2020/10/23 21:43:15:864',2,1.257618,0.681441,0.043994,0.015288,0.176982
87,'2020/10/23 21:43:15:881',2,1.257618,0.681441,0.043994,0.015288,0.176982
88,'2020/10/23 21:43:15:897',2,1.257618,0.681441,0.043994,0.015288,0.176982
89,'2020/10/23 21:43:15:914',2,1.257618,0.681441,0.043994,0.015288,0.176982
90,'2020/10/23 21:43:15:931',2,1.257618,0.681441,0.043994,0.015288,0.176982
91,'2020/10/23 21:43:15:947',2,1.257618,0.681441,0.043994,0.015288,0.176982
92,'2020/10/23 21:43:15:964',2,1.257618,0.681441,0.043994,0.015288,0.176982
93,'2020/10/23 21:43:15:981',2,1.257618,0.681441,0.043994,0.015288,0.176982
94,'2020/10/23 21:43:15:997',2,1.257618,0.681441,0.043994,0.015288,0.176982
95,'2020/10/23 21:43:16:014',2,1.257618,0.681441,0.043994,0.015288,0.176982
96,'2020/10/23 21:43:16:031',2,1.257618,0.681441,0.043994,0.015288,0.176982
97,'2020/10/23 21:43:16:047',2,1.257618,0.681441,0.043994,0.015288,0.176982
98,'2020/10/23 21:43:16:064',2,1.257618,0.681441,0.043994,0.015288,0.176982
99,'2020/10/23 21:43:16:081',2,1.257618,0.681441,0.043994,0.015288,0.176982
100,'2020/10/23 21:43:16:097',2,1.257618,0.681441,0.043994,0.015288,0.176982
101,'2020/10/23 21:43:16:114',2,1.257618,0.681441,0.043994,0.015288,0.176982
102,'2020/10/23 21:43:16:131',2,1.257618,0.681441,0.043994,0.015288,0.176982
